Rédigé par		Petite intro	Nombre d’habitants (en millions) 	Superficie (km2)	La ville chef-lieu de région (future capitale)	Ils y sont nés	images	Qu’est-ce qu’elle a de spécial, ma région? 	Quel dictionnaire? 	Et pour les gourmands? 	ID
Sophie 	Alsace-Champagne-Ardenne-Lorraine	Son nom est très long car elle est constituée de trois anciennes régions&nbsp;: l’Alsace, la Champagne-Ardenne et la Lorraine. Son nouveau nom pourrait être «&nbsp;Grand Est&nbsp;», mais ce n’est pas encore sûr.	5,8	57 433 km2, soit 734 fois la ville de Strasbourg	Strasbourg sera la capitale de cette région. C’est aussi la plus grande ville et le siège du Parlement européen et du Conseil de l’Europe. Les autres grandes villes sont Metz, Nancy, Mulhouse, Reims et Troyes. 	"Yannick Noah
Chanteur et tennisman
Né à Sedan
Photo AFP

Albert Uderzo
Dessinateur d'Astérix
Né à Fismes
AFP

Karine Le Marchand
Présentatrice de télé
Née à Nancy
AFP"		"C’est une région qui touche plusieurs pays, avec lesquels elle a beaucoup d’échanges&nbsp;: la Suisse, l’Allemagne, le Luxembourg et la Belgique. Il y a beaucoup de montagnes&nbsp; : les Vosges et le Jura alsacien. Le 6 décembre, on fête la Saint-Nicolas (accompagné du méchant père Fouettard). Il y a aussi beaucoup de marchés de Noël.

Au sein de cette grande région, l’Alsace et la Moselle ont une histoire particulière&nbsp; : elles ont appartenu à l’Allemagne après la défaite de la France dans la guerre de 1870 et sont redevenues françaises en 1919 après la Première Guerre mondiale, avant d’être de nouveau allemandes pendant la Seconde Guerre mondiale. Elles en ont gardé quelques particularités&nbsp;, comme des jours fériés en plus comme dans le calendrier allemand&nbsp;: le vendredi saint, juste avant Pâques, et le 26 décembre.
Souvent, les Alsaciens aiment mettre leurs spécifités et leurs traditions en valeur, comme afficher le nom des villes en alsacien sur les panneaux. C’est pour cela que beaucoup n’étaient pas contents de se regrouper avec deux autres régions et ils se sont fortement opposés au redécoupage. "	"En Alsace, on parle encore un peu l’alsacien&nbsp;: cela ressemble à l’allemand. Par exemple, on dit les Schloppa pour les chaussons.
En Lorraine et en Champagne-Ardenne, il y a des expressions particulières&nbsp;: en Champagne-Ardenne, le nombril est une «&nbsp;boudine&nbsp;», et on dit qu’on «&nbsp;clenche&nbsp;» une porte quand on la ferme. "	Au sein de cette nouvelle grande région, chaque ancienne région a ses spécificités&nbsp;: l’Alsace est connue pour la choucroute, le kugelhopf, le vin blanc. En Champagne-Ardenne, le sous-sol calcaire et le climat sont bénéfiques à la production du champagne. Et en Lorraine, on cuisine la fameuse quiche lorraine, on mange des mirabelles et les délicieuses madeleines de Commercy.	alsace
Kim	Auvergne-Rhône-Alpes	L'Auvergne-Rhône-Alpes est la fusion de deux régions voisines&nbsp;: l'Auvergne et Rhône-Alpes. L'ordre alphabétique a été choisi pour ne pas faire de jaloux, mais ce nom doit changer. Cela pourrait être «&nbsp;Rhône-Alpes-Auvergne&nbsp;», «&nbsp;Aura&nbsp;» ou «&nbsp;Alpes-Auvergne&nbsp;».	7,6	69 711 km2, soit 1 454 fois la ville de Lyon	Lyon sera la capitale de cette région. Les autres grandes villes sont Bourg-en-Bresse, Annecy, Saint-Etienne, Valence, Aurillac, Chambéry, Grenoble, Clermont-Ferrand et le Puy-en-Velay.	"
Mimi Mathy
Actrice
Née à Lyon
Photo AFP

André Manoukian
Musicien
Né à Lyon
AFP

Florence Forresti
Humoriste
Née à Vénissieux
AFP"		"Cette région est au centre-est de la France. Elle touche cinq régions françaises, mais aussi la Suisse et l'Italie. Tout le monde n'était pas content de voir les deux régions fusionner&nbsp;: les départements moins peuplés, comme le Cantal, ont peur d'être oubliés par les grandes villes comme Lyon.
En Auvergne-Rhônes-Alpes, on peut faire du ski, par exemple en Savoie ou dans le Jura, ou se promener dans le parc naturel régional des volcans d'Auvergne. C'est là qu'on produit l'eau Volvic. "	"Les langues régionales sont l'occitan, qu'on appelle aussi langue d'oc, le bourbonnais et l'arpitan, un mélange de français et de provençal. Peu de personnes les parlent.
En Auvergne-Rhône-Alpes, le français est appelé «&nbsp;langue d'oïl&nbsp;». En bourbonnais, par exemple, on dit «&nbsp;acaboueler&nbsp;» pour «&nbsp;couver une maladie&nbsp;», «&nbsp;dâler&nbsp;» quand il fait très chaud, ou «&nbsp;margoulette&nbsp;» pour «&nbsp;tête&nbsp;»."	L'Auvergne-Rhônes-Alpes est une région riche en saveurs. De nombreux chefs cuisiniers très réputés viennent de cette région. On mange des spécialités dans des restaurants qui s'appellent des bouchons lyonnais. Les autres spécialités de la région sont la volaille de Bresse, les lentilles du Puy-de-Domes, la tartiflette de Haute-Savoie, la fourme de Montbrisson, le gratin dauphinois, les noix de Grenoble, les châtaignes d'Ardèche, le nougat de Montélimar. On boit des vins de Côte du Rhône ou des vins de Savoie, mais il existe beaucoup d'autres variétés de vin dans cette région. On peut aussi boire de l'eau d'Evian ou de Volvic. 	auvergne
Gilles	Bourgogne-Franche-Comté 	Cette région est la fusion de la Bourgogne et de la Franche-Comté. Elle s'appelle pour l'instant Bourgogne-Franche-Comté pour respecter l'ordre alphabétique. Ce nom devrait rester car aucun autre ne semble plus apprécié.	2,8	47 784 km2, soit 1 182 fois la ville de Dijon	Dijon sera la capitale de cette région. Les autres grandes villes sont Auxerre, Nevers, Mâcon, Châlon-sur-Saône, Besançon, Sochaux.	"Antoine Griezmann
Footballeur
né à Mâcon
Photo Reuters

Pierre Larousse
Fondateur des dictionnaires
Né à Toucy
DR

Florent Pagny
Chanteur
Né à Châlon-sur-Saône
AFP"		La Bourgogne-Franche-Comté touche quatre autres régions françaises, et un pays étranger, la Suisse. La Bourgogne est célèbre pour la qualité de ses vins, qui sont parmi les meilleurs du monde et qui peuvent être très très chers. A l'est, on trouve plusieurs massifs de montagnes, les Vosges et le Jura, où l'on peut faire du ski, et surtout du ski de fond dans le Jura. C'est dans le Doubs que l'on trouve le village de Mouthe, qui est considéré comme l'endroit le plus froid de France : en 1985, on y a enregistré une température de -41,2 degrés, c'est aussi froid que chez les esquimaux. 	En Bourgogne et en Franche-Comté, on met parfois un article devant le prénom (on va voir le Paul ou la Catherine) ou un y devant le verbe (j'y fais, j'y dis). En Bourgogne, quand on est affamé, on dit qu'on a vrai faim et quand c'est la canicule, on dit qu'on a vrai chaud. Quelqu'un d'idiot sera traité de «&nbsp;beuillot&nbsp;». Et dans les deux régions, «&nbsp;gaugé&nbsp;» signifie «&nbsp;trempé&nbsp;» et «&nbsp;dégnappé&nbsp;» veut dire «&nbsp;complètement foutu&nbsp;».	"A l'apéritif, la spécialité est le kir, un mélange de vin blanc et de crème de cassis. On peut manger des escargots de Bourgogne en entrée, puis une saucisse de Morteau ou de Montbéliard, une andouillette sauce moutarde ou un bon steak de vache charolaise. Côté fromages, on peut apprécier la cancoillote ou le comté. Pour accompagner tout ça (pour les adultes&nbsp;!), la Bourgogne a de grands vins, rouges ou blancs, et même du vin jaune du Jura. Voilà un repas qui n'est peut-être pas très léger, mais 100% Bourgogne-Franche Comté, une région où les affamés peuvent trouver leur bonheur.
Pour digérer, on peut piocher un petit bonbon à l'anis de l'abbaye de Flavigny. En plus, la boîte est jolie&nbsp;!"	bourgogne
Kim	Bretagne	La Bretagne est l'une des régions qui ne changeront pas avec le redécoupage. Elle garde donc son nom, sa capitale et ses contours. 	3,2	27 208 km2, soit 540 fois la ville de Rennes	Rennes reste la capitale de cette région. Les autres grandes villes sont Vannes, Saint-Brieuc, Brest, Morlaix et Quimper.	"Nolwenn Leroy
Chanteuse
Née à Saint-Renan
Photo AFP

Yoann Gourcuff
Footballeur
Né à Plœmeur
AFP

Chateaubriand
Ecrivain
Né à Saint-Malo
DR"		"Avant 1532, la Bretagne n'appartenait pas au Royaume de France. C'est quand la fille de la duchesse Anne de Bretagne, Claude de France, s'est mariée avec François&nbsp;1er que la région a officiellement été rattachée à la France. Les Bretons sont généralement fiers de leur identité régionale&nbsp;; ils  affichent volontiers le drapeau breton noir et blanc, le Gwenn ha Du. Pendant longtemps, les limites officielles de la Bretagne ont été floues, et la ville de Nantes (qui se trouve aujourd'hui dans la région des pays de la Loire) en a fait longtemps partie. Certains souhaitaient donc voir Nantes et ses alentours rejoindre la nouvelle région, d'autres non, et la région est restée telle quelle.
En Bretagne, on peut faire de la voile, admirer la faïence de Quimper, se promener autour des menhirs et des dolmens, ou des phares. La musique traditionnelle bretonne est jouée par des «&nbsp;bagadoù&nbsp;», qui ressemblent un peu aux groupes écossais, avec leurs cornemuses. On peut aussi venir en Bretagne pour les festivals de musique de Carhaix (Vieilles Charrues), ou le festival interceltique de Lorient."	La langue bretonne, le breton, se dit <em>brezhoneg</em>. Pour souhaiter «&nbsp;bonne journée&nbsp;» à quelqu'un, on dit «&nbsp;devezh mat&nbsp;». Pour demander à quelqu'un s'il va bien, on dit «&nbsp;mat an traoù&nbsp;?&nbsp;». Peu de personnes parlent encore cette langue, mais les Bretons essayent de la préserver. Il y a même des écoles où les cours sont en breton, on les appelle les écoles Diwan.	"Les gens qui aiment le poisson et les fruits de mer sont heureux en Bretagne, car il y en a beaucoup&nbsp;! On peut aussi y manger des crêpes, des galettes de sarrasin avec de la saucisse, des galettes de Pont-Aven, du kouign-aman (un gâteau au sucre et au beurre), du far breton (ça ressemble à un flan).
Pour boire, il y a bien sûr le cidre, à base de pommes. Et la Bretagne a son propre coca, le Breizh Cola."	bretagne
Kim	Centre-Val de Loire	Le Centre-Val de Loire est l'une des régions qui ne changeront pas avec le redécoupage. Elle garde donc son nom, sa capitale et ses contours. 	2,6	39 151 km2, soit 1 425 fois la ville d'Orléans	Orléans reste la capitale de cette région. Les autres villes connues sont Tours, Bourges, Châteauroux, Blois et Chartres sont aussi connues.	"Amel Bent
Chanteuse
Née à Tours
Photo AFP

Harry Roselmack
Journaliste
Né à Tours
AFP

Gérard Depardieu
Acteur
Né à Châteauroux
AFP"		"Jusqu'au début de l'année, le Centre-Val de Loire s'appelait seulement «&nbsp;Centre&nbsp;». Mais comme le plus long fleuve de France, la Loire, traverse la région, c'était plus logique d'en ajouter le nom. Avec ses châteaux de la Loire (Amboise, Blois, Chambord, Chenonceau...), le Centre-Val de Loire est une région touristique. On vient y découvrir les demeures des rois et de leurs familles. L'auteur de Tintin, Hergé, s'est aussi inspiré d'un de ces châteaux, Cheverny, pour créer le château de Moulinsart, où habite le Capitaine Haddock.
Dans la région, on peut aussi visiter la cathédrâle de Chartres, où l'on vient admirer la nef gothique ou les vitraux. On peut aussi se promener en forêt (il y en a beaucoup) ou pêcher dans le fleuve."	Dans cette région, on parle le berrichon. Ce sont principalement les personnees âgées qui l'utilisent encore. Il y a quelques mots typiques du berrichon, mais c'est surtout la prononciation qui est importante. On dit «&nbsp;ça pleut&nbsp;» au lieu de «&nbsp;il pleut&nbsp;», «&nbsp;eul&nbsp;» pour «&nbsp;le&nbsp;», et on peut même dire «&nbsp;bonsoir&nbsp;» le matin !	Dans le Centre-Val de Loire, on trouve des truffes, des rillettes et des petits pains briochés qui ont été créés au Moyen-Age, les fouaces. On les mange avec du fromage ou de la salade verte. Le Val-de-Loire est aussi connu pour ses vins.	centre_val_de_loire
Elsa (validé par Marie O.)	Corse	La Corse est l'une des régions qui ne changeront pas avec le redécoupage. Elle garde donc son nom, sa capitale et... ses contours (heureusement puisque c'est une île) !	0,3	8 680 km2, soit 106 fois la ville d'Ajaccio	Ajaccio reste la capitale de cette région. L'autre grande ville corse est Bastia. Porto-Vecchio, Calvi et Corte sont également connues.	"Tino Rossi
Chanteur
(«Petit papa Noël»)
Né à Ajaccio
Photo AFP

Napoléon 1er
Empereur
Né à Ajaccio
DR

Alizée
Chanteuse
Née à Ajaccio
CC Alizeemadit "		"La Corse est la seule région de la métropole (c'est-à-dire située en Europe) à être une île. Ses paysages sont très jolis, que ce soit du côté de la mer ou de la montagne, d'où son surnom d'«&nbsp;île de beauté&nbsp;». Le célèbre GR20, un chemin de randonnée qui la traverse, attire beaucoup de touristes chaque année.
Pendant longtemps, la Corse a été génoise (Gênes est une ville d'Italie), et elle a aussi été anglaise. Elle est redevenue française en 1796 et l'est restée depuis. Certains habitants voudraient que leur région soit indépendante de la France, pour qu'elle prenne ses décisions toute seule. Ce n'est pas le cas, mais elle a plus de pouvoir que les autres régions de France."	"Une partie des habitants parle le corse. C'est une langue qui ressemble à l'italien.
On dit par exemple le «&nbsp;pinzutu&nbsp;» (on ne prononce pas le dernier u) pour désigner le Français qui habite dans les autres régions (ce n'est pas très positif comme mot&nbsp;!), «&nbsp;basta&nbsp;» pour dire que ça suffit ou «&nbsp;fraté&nbsp;», qui veut dire «&nbsp;frère&nbsp;», pour parler d'un ami."	"La Corse a beaucoup de très bonnes spécialités&nbsp;! Elle est par exemple réputée pour sa charcuterie, avec la coppa, le lonzu ou le figatellu, qui est une saucisse de foie. On la connaît aussi pour ses fromages de chèvre et de brebis, et en particulier le brocciu, qui est utilisé dans de nombreux plats.
En Corse, on fait aussi des gâteaux avec de la farine de châtaigne."	corse
Kim	Ile-de-France 	L'Ile-de-France est l'une des régions qui ne changeront pas avec le redécoupage. Elle garde donc son nom, sa capitale et ses contours. 	11,9	12 012 km2, soit 114 fois la ville de Paris	Paris, qui est aussi la capitale de la France, reste la capitale de cette région. L'Elysée (où habite et travaille le Président), l'Assemblée nationale, le Sénat, les ministères sont à Paris. Les autres grandes villes sont Versailles, où se trouve le célèbre château, Nanterre, Evry et Melun.	"Johnny Halliday
Chanteur
Né à Paris
Photo AFP

Emile Zola
Ecrivain
Né à Paris
DR

Omar Sy
Acteur
Né à Trappes
Universal Pictures"		"L'Ile-de-France est la région de France qui a le plus d'habitants, alors que c'est l'une des plus petites&nbsp;! Elle a beaucoup évolué, surtout dans la deuxième moitié du 20e siècle&nbsp;: on a construit des maisons, des routes, des immeubles, des lignes de train, là où il y avait beaucoup de champs auparavant.
Paris est l'une des villes les plus visitées par les touristes du monde entier. On trouve en Ile-de-France d'autres endroits touristiques, comme le château de Versailles, la cité médiévale de Provins ou le parc Disneyland.
On vient aussi en Ile-de-France pour faire du commerce&nbsp;: la Défense, juste à côté de Paris, est le plus important quartier d'affaires d'Europe.
On peut se promener dans la région, au bord de la Seine ou dans les nombreuses forêts."	Il y a eu plusieurs dialectes (des façons particulières de parler une langue) en Ile-de-France, comme le briard, mais depuis 50 ans, presque plus personne ne les utilise. En briard, on disait par exemple «&nbsp;j'sais beaucoup&nbsp;» pour «&nbsp;je ne sais pas&nbsp;» ou «&nbsp;claquer du bec&nbsp;» pour «&nbsp;avoir faim&nbsp;». 	"L'Ile-de-France n'est pas particulièrement connue pour sa gastronomie, mais on y cultive les célèbres champignons de Paris et on y fabrique le fameux brie de Meaux ou de Melun (c'est du fromage).
Le Paris-Brest, un gâteau à base de pâte à choux et de praline, est une spécialité régionale. "	ile_de_france
Marie	Languedoc-Roussillon-Midi-Pyrénées	Cette région en regroupe deux anciennes&nbsp;: le Languedoc-Roussillon et Midi-Pyrénées. Elle va devenir l’une des plus grandes régions de France&nbsp;! Son nouveau nom n’a pas encore été choisi, cela fait débat. Les journaux locaux ont demandé aux lecteurs leur avis&nbsp;: la majorité a voté pour «&nbsp;Occitanie&nbsp;». Mais rien n’a encore été décidé.	5,6	72 724 km2, soit 615 fois la ville de Toulouse	Toulouse sera la capitale de cette région. Montpellier est un peu déçu. Les autres grandes villes sont Carcassonne, Nîmes et Perpignan.	"Olivia Ruiz
Chanteuse
Née à Carcassonne
Photo AFP

Frédéric Michalak
Rugbyman
Né à Toulouse
AFP

Rémi Gaillard
Youtubeur
Né à Montpellier
CC Yves Tennevin"		"Plein de choses&nbsp;! C’est l’une des destinations fétiches des vacanciers pendant l’été&nbsp;: 30 millions de touristes viennent chaque année. Il y a la mer (Méditerranée), la montagne (les Pyrénées) et on peut faire des balades magnifiques un peu partout, dans les gorges du Tarn par exemple.
Il y a aussi beaucoup de beaux monuments&nbsp;: les châteaux cathares, la cité de Carcassonne, mais aussi le pont du Gard et le canal du midi, qui relie la Garonne à la mer Méditerranée. Ou encore le viaduc de Millau sur lequel tu as peut-être roulé en voiture (il peut faire peur si tu as le vertige&nbsp;!)."	Les langues traditionnelles sont l’occitan et le catalan. Il y a des écoles français-occitan, qu'on appelle les calendretas, ce qui veut dire  <em>«petites alouettes»<em>, mais il n’en existe pas beaucoup. Il y a aussi des écoles où les élèves parlent le catalan. 	"Pour ceux qui ont très faim, il y a le cassoulet de Castelnaudary&nbsp;: des haricots blancs avec de la bonne saucisse de Toulouse et des cuisses de canard confites.
Si tu raffoles de fromages, cours vite dans les Pyrénées (en Ariège, par exemple), tu pourras goûter au Bethmale. Les petits fromages de Rocamadour (dans le Lot) valent aussi le détour. Dans l’Aveyron et la Lozère, on adore manger de l’aligot&nbsp;: c’est de la purée de pommes de terre mélangée avec de la tome fraîche. Et pour le dessert, une crème catalane, du côté de Perpignan&nbsp;? "	languedoc
